names,places,popularity,scores,links,imgs
九眼桥,简阳,6.9,4.6,https://you.ctrip.com/sight/chengdu104/1713566.html,https://dimg04.c-ctrip.com/images/100c0m000000dhi4gE3EE_C_220_140.jpg
《芙蓉国粹》变脸秀,简阳,7.1,4.7,https://you.ctrip.com/sight/chengdu104/138441.html,https://dimg04.c-ctrip.com/images/0101l1200091xx3nsD2FE_C_220_140.jpg
天府广场,简阳,6.9,4.6,https://you.ctrip.com/sight/chengdu104/50285.html,https://dimg04.c-ctrip.com/images/0103k120008c4od1w0659_C_220_140.jpg
人民公园,简阳,6.9,4.6,https://you.ctrip.com/sight/chengdu104/11693.html,https://dimg04.c-ctrip.com/images/0101e120009zdcz18778A_C_220_140.jpg
天府熊猫塔,简阳,6.7,4.5,https://you.ctrip.com/sight/chengdu104/1410576.html,https://dimg04.c-ctrip.com/images/100912000000tatf3245F_C_220_140.jpg
成都夜游锦江,简阳,6.6,4,https://you.ctrip.com/sight/chengdu104/5701315.html,https://dimg04.c-ctrip.com/images/0102v12000a3r39y6CA5C_C_220_140.jpg
新希望种子乐园,简阳,4.8,4,https://you.ctrip.com/sight/jianyang3122/5713252.html,https://dimg01.c-ctrip.com/images/0104r120009nmrwlh8489_C_220_140.jpg
蔚然花海,简阳,5.6,4,https://you.ctrip.com/sight/chengdu104/1788490.html,https://dimg04.c-ctrip.com/images/0105812000aeqp9hiB5E8_C_220_140.jpg
黄龙溪欢乐田园,简阳,6.7,4.9,https://you.ctrip.com/sight/chengdu104/5100501.html,https://dimg04.c-ctrip.com/images/1lo4i12000b9nmffm2A9E_C_220_140.png
成都龙泉山丹景台旅游景区,简阳,4.7,4.4,https://you.ctrip.com/sight/jianyang3122/5701676.html,https://dimg07.c-ctrip.com/images/01051120008cu0ipk0FBF_C_220_140.jpg
四川科技馆,简阳,6.5,4.4,https://you.ctrip.com/sight/chengdu104/1475857.html,https://dimg04.c-ctrip.com/images/0103q12000apua0i84C7B_C_220_140.jpg
青羊宫,简阳,6.5,4.5,https://you.ctrip.com/sight/chengdu104/11700.html,https://dimg04.c-ctrip.com/images/10071f000001h6zxkB3A9_C_220_140.jpg
梵高星空美术馆（春熙路旗舰店）,简阳,6.2,4.8,https://you.ctrip.com/sight/chengdu104/5701558.html,https://dimg04.c-ctrip.com/images/350a1c000001ckbazC495_C_220_140.jpg
立巢航空博物馆,简阳,5.9,4.7,https://you.ctrip.com/sight/chengdu104/5546729.html,https://dimg04.c-ctrip.com/images/100h1a0000018h8ud1DD4_C_220_140.jpg
望江楼公园,简阳,5.9,4.6,https://you.ctrip.com/sight/chengdu104/4591.html,https://dimg04.c-ctrip.com/images/10010z000000nrr0d59D9_C_220_140.jpg
东郊记忆,简阳,5.9,4.5,https://you.ctrip.com/sight/chengdu104/1475942.html,https://dimg04.c-ctrip.com/images/350k1b000001apjk2BBB7_C_220_140.jpg
四川大学,简阳,6.0,4.7,https://you.ctrip.com/sight/chengdu104/144991.html,https://dimg04.c-ctrip.com/images/1A0l180000014xq0i45B7_C_220_140.jpg
