names,places,links,imgs,scores,address,ranks
马累机场免税店,马累,https://you.ctrip.com/shopping/hulhule2134148/1357599.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M07/DD/01/CggYGlaEmB2AaRUIAAHeFN-qKLM311_C_220_140.jpg,4.2,"Airport Main Rd, Hulhule 22000",6
马尔代夫邮局,马累,https://you.ctrip.com/shopping/male57616/1357598.html,https://dimg04.c-ctrip.com/images/100r0e00000074f71B994_C_220_140.jpg,4.6,"Boduthakurufaanu Magu, Male",7
Majeedee Magu购物街,马累,https://you.ctrip.com/shopping/male57616/107953.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,4.5,"Majeedee Magu, Male",8
珊瑚岛冲浪店,马累,https://you.ctrip.com/shopping/male57616/107960.html,https://dimg04.c-ctrip.com/images/100ihk133pktoxq0wFBE0_C_220_140.jpg,4.4,"Boduthakurufaanu Magu, Male",9
Orchid Magu商业街,马累,https://you.ctrip.com/shopping/male57616/1357594.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,4.4,"Orchid Magu, Male",10
Chaandanee Magu购物街,马累,https://you.ctrip.com/shopping/male57616/107952.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,4.3,"Chaandanee Magu Street, Male",11
Fareedhee Magu,马累,https://you.ctrip.com/shopping/male57616/1357596.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,3.8,"Fareedhee Magu, Male",12
Male Water World潜水用具商店,马累,https://you.ctrip.com/shopping/male57616/107957.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/B4/1D/CghzfVW7TBWAIcNtAAA29xzKGmc176_C_220_140.jpg,3.3,"Chaandhanee Magu, Male",13
男性潜水用品店,马累,https://you.ctrip.com/shopping/male57616/1357591.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/B4/1D/CghzfVW7TBWAIcNtAAA29xzKGmc176_C_220_140.jpg,3.5,"Chaandhanee Magu, Male",14
Longines,马累,https://you.ctrip.com/shopping/hulhule2134148/1689066.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M07/01/C2/CghzflW7TBaAEepGAAA_cKJq0PU514_C_220_140.jpg,4.6,22000 Airport Main Rd,15
离境免税店,马累,https://you.ctrip.com/shopping/hulhule2134148/1975509.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,3.0,马累机场离境厅二楼,16
马累农产品市场,马累,https://you.ctrip.com/shopping/male57616/2064037.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,4.0,Boduthakurufaanu Magu,17
Shell Beans,马累,https://you.ctrip.com/shopping/male57616/2343229.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,5.0,"Boduthakurufaanu Magu, H. Jazeera Building, Male",18
s.t.o people choice SUPERMART(...,马累,https://you.ctrip.com/shopping/male57616/1708016.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.3,奥基德大街(Orchid Magu)(BANK O MALD),19
大劳力士岛/白金岛/胡度兰富士岛,马累,https://you.ctrip.com/shopping/male57616/1814445.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.3,北马累群岛,20
Hameedia,马累,https://you.ctrip.com/shopping/male57616/1685252.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,,"Fareedhee Magu, Malé, 马尔代夫",21
