names,places,links,imgs,popularity,scores,addresses
航海纪念碑,里斯本,https://you.ctrip.com/sight/belem1974929/137755.html,https://dimg03.c-ctrip.com/images/10030z000000ndej6EFD0_C_220_140.jpg,8.4,4.5,"Padrao dos Descobrimentos Avenida Brasilia Belem, 里斯本 葡萄牙"
圣若热城堡,里斯本,https://you.ctrip.com/sight/lisbon574/66199.html,https://dimg04.c-ctrip.com/images/0100y120009cnv61s5B16_C_220_140.jpg,8.1,4.6,"Castle of S. Jorge, Rua de Santa Cruz, 1100-129 Lisbon"
圣胡斯塔升降机,里斯本,https://you.ctrip.com/sight/lisbon574/1407353.html,https://dimg04.c-ctrip.com/images/10011f000001h38aw304F_C_220_140.jpg,7.4,4.5,"R. do Ouro, 1150-060 Lisbon"
罗西欧广场,里斯本,https://you.ctrip.com/sight/lisbon574/137767.html,https://dimg04.c-ctrip.com/images/1A0q1f000001g38481956_C_220_140.jpg,7.8,4.4,"Praca Dom Pedro IV, 里斯本 葡萄牙"
罗卡角,里斯本,https://you.ctrip.com/sight/colares47339/75410.html,https://dimg04.c-ctrip.com/images/100h1f000001grthj40C3_C_220_140.jpg,8.5,4.6,"Estrada do Cabo da Roca s/n, 2705-001 Colares"
里斯本海洋馆,里斯本,https://you.ctrip.com/sight/lisbon574/1415418.html,https://dimg04.c-ctrip.com/images/100r1f000001gonf2D836_C_220_140.jpg,7.2,4.4,"Esplanade Dom Carlos I s / nº, 1990-005 Lisbon"
自由大道,里斯本,https://you.ctrip.com/sight/lisbon574/137769.html,https://dimg04.c-ctrip.com/images/100o190000015jma6CFA1_C_220_140.jpg,7.7,4.6,"Av. da Liberdade, 1250-096 Lisbon, Portugal"
奥古斯塔街凯旋门,里斯本,https://you.ctrip.com/sight/lisbon574/137724.html,https://dimg06.c-ctrip.com/images/0100b120008jskoaaE0E5_C_220_140.jpg,7.2,4.5,"R. Augusta 2, 1100-053 Lisboa, Portugal"
格洛丽亚升降机,里斯本,https://you.ctrip.com/sight/lisbon574/1415391.html,https://dimg04.c-ctrip.com/images/1A0tfk105kgz3j1i8453D_C_220_140.jpg,6.5,4.6,"1250-096 Lisbon, Portugal"
里斯本主教堂,里斯本,https://you.ctrip.com/sight/lisbon574/1407351.html,https://dimg04.c-ctrip.com/images/100f1f000001gqaxb8DCA_C_220_140.jpg,7.2,4.6,Largo da Sé ， 1100-585 Lisbon
辛特拉城,里斯本,https://you.ctrip.com/sight/santamariaesaomiguel2001704/137100.html,https://dimg04.c-ctrip.com/images/1A0ifk114yuaf52f4F567_C_220_140.jpg,7.5,4.4,"Sintra, Portugal"
卡尔莫修道院,里斯本,https://you.ctrip.com/sight/lisbon574/1415402.html,https://dimg04.c-ctrip.com/images/10051f000001gst4p1183_C_220_140.jpg,6.3,4.2,"Largo do Carmo, 1200, Lisbon"
摩尔人城堡,里斯本,https://you.ctrip.com/sight/santamariaesaomiguel2001704/1676027.html,https://dimg04.c-ctrip.com/images/0103d120009e007jj4922_C_220_140.jpg,7.5,4.5,"2710-405 Sintra, Portugal"
